date,score_mean_10,sentiment_twitter_10,close,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start
2018/12/20,0,0.03002326,65.410004,2018,12,51,20,3,354,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/21,0,0.0229038,63.48,2018,12,51,21,4,355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/24,0,-0.01075826,62.700001,2018,12,52,24,0,358,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/26,-0.26407,0.00666934,60,2018,12,52,26,2,360,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/27,-0.16362,-0.00512728,63.967999,2018,12,52,27,3,361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/28,-0.18929,0.00784212,64.620003,2018,12,52,28,4,362,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/31,-0.16197,-0.001226,67.557999,2018,12,1,31,0,365,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2019/1/2,-0.14666,-0.02494196,61.220001,2019,1,1,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/3,-0.10262,-0.04076547,61.400002,2019,1,1,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/4,0,-0.02548692,61.200001,2019,1,1,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/7,-0.02435,-0.01205563,64.344002,2019,1,2,7,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/8,-0.05847,-0.00700112,68.391998,2019,1,2,8,1,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/9,0.01572,0.02674314,67.099998,2019,1,2,9,2,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/10,-0.0149,0.0001765,66.879997,2019,1,2,10,3,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/11,-0.06596,0.00969082,68.417999,2019,1,2,11,4,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/1/14,0.03401,-0.015207931,68.475998,2019,1,3,14,0,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
